"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","New Georeferenced Column"
"308717968","06/26/2025","22:40:00","BROOKLYN","OUTSIDE","69","0","STREET","(null)","Y","(null)","(null)","(null)","25-44","M","BLACK","1,012,575","171,356","40.636975","-73.897943","POINT (-73.897943 40.636975)"
"304666143","04/13/2025","02:09:00","BRONX","INSIDE","40","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","25-44","M","BLACK","25-44","M","BLACK HISPANIC","1,006,566","239,026","40.822729","-73.919369","POINT (-73.919369 40.822729)"
"307632869","06/05/2025","19:35:00","BROOKLYN","OUTSIDE","63","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","25-44","M","BLACK","25-44","M","BLACK","1,006,302","170,051","40.63341","-73.920548","POINT (-73.920548 40.63341)"
"308594661","06/24/2025","04:20:00","BRONX","OUTSIDE","46","0","STREET","(null)","Y","25-44","M","BLACK","18-24","M","WHITE HISPANIC","1,006,371","250,007","40.852867","-73.920038","POINT (-73.920038 40.852867)"
"298909834","01/04/2025","22:35:00","BRONX","OUTSIDE","47","0","STREET","(null)","N","45-64","M","BLACK","25-44","M","BLACK","1,023,206","263,661","40.890286","-73.859106","POINT (-73.859106 40.890286)"
"308800538","06/29/2025","02:43:00","BRONX","OUTSIDE","43","0","STREET","(null)","N","(null)","(null)","(null)","18-24","M","WHITE HISPANIC","1,019,527","241,348","40.82904948","-73.87252839","POINT (-73.87252839 40.82904948)"
"301565779","02/23/2025","23:41:00","BRONX","INSIDE","43","0","DWELLING","MULTI DWELL - APT BUILD","N","<18","M","BLACK","45-64","F","WHITE HISPANIC","1,024,656","245,412","40.840191","-73.85397","POINT (-73.85397 40.840191)"
"304483259","04/09/2025","16:58:00","BRONX","OUTSIDE","46","0","STREET","(null)","N","<18","M","BLACK HISPANIC","25-44","M","WHITE HISPANIC","1,012,701","253,506","40.86244422","-73.89714218","POINT (-73.89714218 40.86244422)"
"304666141","04/12/2025","22:05:00","QUEENS","OUTSIDE","111","0","STREET","(null)","Y","25-44","M","ASIAN / PACIFIC ISLANDER","<18","M","WHITE HISPANIC","1,047,578","213,895","40.753552","-73.771428","POINT (-73.771428 40.753552)"
"305637549","04/30/2025","04:47:00","MANHATTAN","OUTSIDE","18","0","STREET","(null)","N","18-24","M","BLACK","25-44","M","ASIAN / PACIFIC ISLANDER","988,511","215,874","40.75919967","-73.98461925","POINT (-73.98461925 40.75919967)"
"307558032","06/04/2025","13:30:00","QUEENS","OUTSIDE","109","0","STREET","(null)","N","18-24","M","WHITE HISPANIC","45-64","M","WHITE","1,040,376","224,023","40.781398","-73.797336","POINT (-73.797336 40.781398)"
"305963806","05/06/2025","21:25:00","BROOKLYN","OUTSIDE","71","0","COMMERCIAL","SMALL MERCHANT","N","(null)","(null)","(null)","18-24","M","BLACK","1,003,564","181,625","40.665184","-73.930383","POINT (-73.930383 40.665184)"
"305163494","04/22/2025","22:27:00","MANHATTAN","OUTSIDE","28","0","STREET","(null)","Y","18-24","M","BLACK","45-64","F","BLACK","997,853","230,889","40.800413","-73.950866","POINT (-73.950866 40.800413)"
"305054141","04/20/2025","13:50:00","BRONX","OUTSIDE","40","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","18-24","M","WHITE HISPANIC","25-44","M","BLACK","1,005,945","235,372","40.812701","-73.921625","POINT (-73.921625 40.812701)"
"302377352","03/10/2025","22:40:00","QUEENS","OUTSIDE","113","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","1,040,051","185,174","40.6747607","-73.79883235","POINT (-73.79883235 40.6747607)"
"305163493","04/22/2025","17:40:00","QUEENS","OUTSIDE","104","0","STREET","(null)","Y","<18","M","BLACK","18-24","M","WHITE HISPANIC","1,011,400","193,806","40.698596","-73.902085","POINT (-73.902085 40.698596)"
"306610276","05/17/2025","21:57:00","BROOKLYN","OUTSIDE","75","0","STREET","(null)","Y","18-24","M","WHITE HISPANIC","18-24","M","BLACK","1,014,679","179,606","40.65961","-73.890327","POINT (-73.890327 40.65961)"
